Date,County,Year,Month,MonthName,HomesSold,Inventory,NewListings,PendingSales,MonthsOfSupply,MedianDOM,PriceDropShare,SoldAboveListShare,SaleToListRatio,MedianSalePrice,MedianListPrice,MedianPPSF
2019-01-01,Adams,2019,1,Jan,10,49.0,12.0,10.0,4.9,93.0,,0.3,0.9944122454,244250.0,182450.0,116.796828067
2019-01-01,Asotin,2019,1,Jan,15,68.0,15.0,15.0,4.5,85.0,,0.06666666667,0.9892999399,201500.0,189900.0,170.256914042
2019-01-01,Benton,2019,1,Jan,202,822.0,218.0,194.0,4.1,92.0,,0.202970297,0.9899392729,295750.0,299900.0,147.578463203
2019-01-01,Chelan,2019,1,Jan,41,202.0,57.0,72.0,4.9,41.0,0.1138613861,0.1707317073,0.9883648839,367000.0,349000.0,195.800524934
2019-01-01,Clallam,2019,1,Jan,63,256.0,53.0,63.0,4.1,77.0,,0.1904761905,0.9847128602,308000.0,292000.0,186.207839432
2019-01-01,Clark,2019,1,Jan,497,1583.0,687.0,653.0,3.2,53.0,0.2406822489,0.2052313883,0.9885689421,358950.0,379947.5,191.42729462
2019-01-01,Columbia,2019,1,Jan,2,32.0,5.0,2.0,16.0,163.0,,0.0,0.8984412188,221550.0,135000.0,122.726805971
2019-01-01,Cowlitz,2019,1,Jan,82,249.0,118.0,129.0,3.0,41.0,0.2449799197,0.3292682927,0.9942196733,230750.0,286950.0,167.763157895
2019-01-01,Douglas,2019,1,Jan,22,78.0,28.0,29.0,3.5,36.0,0.1538461538,0.3181818182,1.016587712,343950.0,444900.0,187.6527729
2019-01-01,Ferry,2019,1,Jan,4,58.0,10.0,4.0,14.5,105.0,,0.0,0.9536316164,146000.0,191000.0,114.776785714
2019-01-01,Franklin,2019,1,Jan,84,346.0,114.0,81.0,4.1,92.0,,0.2619047619,0.99303662,274000.0,269350.0,153.957901834
2019-01-01,Grant,2019,1,Jan,52,216.0,60.0,63.0,4.2,41.0,0.1203703704,0.1730769231,0.979291805,208450.0,234975.0,127.121238426
2019-01-01,Grays Harbor,2019,1,Jan,94,287.0,91.0,111.0,3.1,52.0,0.1742160279,0.1489361702,0.979854872,184575.0,199900.0,118.286445013
