Date,HomesSold,Inventory,MoS_Unweighted,MoS_Weighted,AboveList_Unweighted,AboveList_Weighted,SmallCounties,SmallCountyShareOfSales,WeightingGap,Verdict_Unweighted,Verdict_Weighted
2019-01-01,6163.0,16979.0,4.9895,2.755,0.188,0.2346,12.0,0.0193,2.2345,Balanced,Seller's market
2019-02-01,6943.0,16391.0,4.9436,2.3608,0.2201,0.2732,11.0,0.0114,2.5828,Balanced,Seller's market
2019-03-01,8410.0,17427.0,4.1667,2.0722,0.222,0.3056,10.0,0.0101,2.0945,Balanced,Seller's market
2019-04-01,9898.0,19175.0,4.041,1.9373,0.2535,0.3684,10.0,0.0077,2.1038,Balanced,Seller's market
2019-05-01,11830.0,22877.0,3.2769,1.9338,0.2694,0.3787,8.0,0.0074,1.3431,Seller's market,Seller's market
2019-06-01,12090.0,23606.0,3.6359,1.9525,0.2933,0.3782,8.0,0.0061,1.6834,Seller's market,Seller's market
2019-07-01,12365.0,23278.0,3.6231,1.8826,0.2506,0.3529,8.0,0.0057,1.7405,Seller's market,Seller's market
2019-08-01,12149.0,23094.0,3.441,1.9009,0.2642,0.3295,8.0,0.0066,1.5401,Seller's market,Seller's market
2019-09-01,10414.0,22307.0,3.5872,2.142,0.2525,0.3155,8.0,0.0076,1.4452,Seller's market,Seller's market
2019-10-01,10883.0,20201.0,3.2538,1.8562,0.2588,0.3113,7.0,0.0051,1.3976,Seller's market,Seller's market
2019-11-01,9263.0,16677.0,3.3128,1.8004,0.2458,0.2916,8.0,0.0073,1.5124,Seller's market,Seller's market
2019-12-01,9406.0,13229.0,2.941,1.4064,0.2101,0.2787,8.0,0.0077,1.5346,Seller's market,Seller's market
2020-01-01,6716.0,12470.0,3.5462,1.8568,0.2053,0.2793,10.0,0.0121,1.6894,Seller's market,Seller's market
2020-02-01,7146.0,12972.0,5.1641,1.8153,0.2434,0.3575,12.0,0.0136,3.3488,Balanced,Seller's market
2020-03-01,9092.0,15444.0,3.059,1.6986,0.2649,0.4276,10.0,0.0119,1.3603,Seller's market,Seller's market
2020-04-01,7726.0,15926.0,3.6947,2.0614,0.3076,0.4497,9.0,0.0102,1.6334,Seller's market,Seller's market
2020-05-01,7905.0,15999.0,3.6974,2.0239,0.2671,0.3887,9.0,0.0089,1.6735,Seller's market,Seller's market
2020-06-01,11211.0,15330.0,2.4436,1.3674,0.2874,0.4077,7.0,0.0048,1.0762,Seller's market,Seller's market
2020-07-01,13109.0,15837.0,1.9359,1.2081,0.3181,0.4318,7.0,0.0056,0.7278,Seller's market,Seller's market
2020-08-01,12520.0,15235.0,2.2128,1.2169,0.3292,0.4531,7.0,0.005,0.996,Seller's market,Seller's market
2020-09-01,13294.0,14501.0,2.0615,1.0908,0.3532,0.4734,7.0,0.005,0.9707,Seller's market,Seller's market
2020-10-01,13773.0,13575.0,1.6538,0.9856,0.3667,0.4707,6.0,0.0045,0.6682,Seller's market,Seller's market
2020-11-01,11335.0,10752.0,1.6564,0.9486,0.367,0.473,7.0,0.0052,0.7078,Seller's market,Seller's market
2020-12-01,11362.0,8341.0,1.5538,0.7341,0.3602,0.4579,6.0,0.003,0.8197,Seller's market,Seller's market
2021-01-01,7462.0,7908.0,1.9333,1.0598,0.3431,0.4516,9.0,0.0094,0.8736,Seller's market,Seller's market
2021-02-01,7726.0,7919.0,2.2487,1.025,0.3925,0.5379,10.0,0.0101,1.2237,Seller's market,Seller's market
2021-03-01,10462.0,7897.0,1.7436,0.7548,0.4168,0.5851,9.0,0.0072,0.9888,Seller's market,Seller's market
2021-04-01,11610.0,9559.0,1.4744,0.8233,0.5005,0.6393,8.0,0.0061,0.651,Seller's market,Seller's market
2021-05-01,12020.0,9466.0,1.541,0.7875,0.4742,0.6488,8.0,0.0062,0.7535,Seller's market,Seller's market
2021-06-01,14296.0,10434.0,1.4897,0.7299,0.5546,0.6647,7.0,0.0045,0.7599,Seller's market,Seller's market
2021-07-01,13716.0,12383.0,1.641,0.9028,0.4727,0.6253,7.0,0.0058,0.7382,Seller's market,Seller's market
2021-08-01,13300.0,12037.0,2.0256,0.905,0.4513,0.5931,6.0,0.0038,1.1206,Seller's market,Seller's market
2021-09-01,13200.0,12480.0,1.9308,0.9455,0.4353,0.5524,7.0,0.0054,0.9853,Seller's market,Seller's market
2021-10-01,12498.0,10864.0,1.5282,0.8693,0.4127,0.5228,7.0,0.0066,0.6589,Seller's market,Seller's market
2021-11-01,11474.0,8290.0,1.559,0.7225,0.385,0.5011,8.0,0.0068,0.8365,Seller's market,Seller's market
2021-12-01,10410.0,6401.0,1.4769,0.6149,0.3642,0.4939,9.0,0.0096,0.862,Seller's market,Seller's market
2022-01-01,6584.0,5989.0,1.7308,0.9096,0.3527,0.495,9.0,0.01,0.8211,Seller's market,Seller's market
2022-02-01,6959.0,6596.0,2.2205,0.9478,0.3947,0.5712,11.0,0.0131,1.2727,Seller's market,Seller's market
2022-03-01,10534.0,7998.0,1.4769,0.7593,0.4594,0.646,10.0,0.0092,0.7177,Seller's market,Seller's market
2022-04-01,10812.0,10188.0,1.6256,0.9423,0.5028,0.6687,10.0,0.0097,0.6834,Seller's market,Seller's market
2022-05-01,11575.0,12972.0,2.1051,1.1207,0.5033,0.6337,9.0,0.0086,0.9844,Seller's market,Seller's market
2022-06-01,11631.0,17886.0,2.4385,1.5378,0.4111,0.5153,7.0,0.0065,0.9007,Seller's market,Seller's market
2022-07-01,9403.0,19832.0,3.2789,2.1091,0.3382,0.3774,8.0,0.0096,1.1698,Seller's market,Seller's market
